instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,corr_ans,type,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Willkommen zum letzten Teil des Experiments!,,Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,,"Jetzt werden wir dir einige Bilder zeigen.

Bitte gib zu jedem Bild an, ob du du es im Verlauf des Experiments gesehen hast.

Drücke die LINKE PFEILTASTE für JA
Drücke die RECHTE PFEILTASTE für NEIN

",Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,,"Anschließend bitten wir dich anzugeben wie sicher du dir bei deiner Wahl bist.

Bitte nutze die Zifferntasten von 1 bis 4 am oberen Ende deiner Tastatur um anzugeben, wie sicher du dir bei deiner Antwort bist.

Die Zahlen stehen für

1 = Sehr unsicher
2 = Unsicher
3 = Sicher
4 = Sehr sicher",Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,6.99013,4,3.80268,0,0,0,94,1,stimuli/objects/scorpion.jpg,right,new,255,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,2.37677,3,1.823115,0,1,1,107,1,stimuli/objects/tambourine03.jpg,right,new,268,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,8.077265,1,2.52731,0,2,2,110,1,stimuli/objects/funnel.jpg,right,new,271,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,5.47092,1,0.77439,0,3,3,146,1,stimuli/objects/tie02.jpg,left,old,307,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,3.506705,2,0.87568,0,4,4,121,1,stimuli/objects/shield02.jpg,right,new,282,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,2.876685,3,1.081245,0,5,5,95,1,stimuli/objects/sealion.jpg,right,new,256,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.70581,3,0.83641,0,6,6,27,1,stimuli/objects/tombstone.jpg,right,new,188,,,,,,,,
