"SubNum","butterfly","response","respFlower","corrFlower","accuracy","cumAcc","RT","trialNum","listN","NfromChange","befAft","befAft2","trialCond","objfile","FlowNum","Q1","Q2","Q3","Q4","Qup1","Qup2","Qup3","Qup4","N1","N2","N3","N4","Delta1","Delta2","Delta3","Delta4","Prob","uncertainty","CPP","CPnot","lr"
2,1,3,"yellow_flower",1,0,0,0.69177,1,0,1,0,0,1,"toolbox02.jpg",4,0.25,0.25,0.25,0.25,0.434335499856363,0.188554833381212,0.188554833381212,0.188554833381212,2.99152542372881,2,2,2,0.75,-0.25,-0.25,-0.25,0.25,0.985122644327995,0.00847457627118642,0.991525423728814,0.247881355932203
2,1,5,"green_flower",1,0,0,1.300895,2,0,2,0,0,1,"firehydrant.jpg",2,0.434335499856363,0.188554833381212,0.188554833381212,0.188554833381212,0.545868152158583,0.151377282613806,0.151377282613806,0.151377282613806,3.98358601190239,2,2,2,0.565664500143637,-0.188554833381212,-0.188554833381212,-0.188554833381212,0.199013367270524,0.962551212074393,0.0079394118264271,0.992060588173573,0.198748980313212
2,2,4,"green_flower",3,0,0,1.38265,3,0,3,0,0,1,"shed02.jpg",2,0.25,0.25,0.25,0.25,0.188554833381212,0.188554833381212,0.434335499856363,0.188554833381212,2,2,2.99152542372881,2,-0.25,-0.25,0.75,-0.25,0.25,0.985122644327995,0.00847457627118642,0.991525423728814,0.247881355932203
2,2,4,"red_flower",3,1,0.25,0.705845,4,0,4,0,0,1,"toucan.jpg",3,0.188554833381212,0.188554833381212,0.434335499856363,0.188554833381212,0.151953603038008,0.151953603038008,0.544139190885975,0.151953603038008,2,2,3.97586659677661,2,-0.188554833381212,-0.188554833381212,0.565664500143637,-0.188554833381212,0.402959898188429,0.962971452107284,0.0156588269522006,0.984341173047799,0.197202476094466
2,1,2,"yellow_flower",1,0,0.2,0.937415,5,0,5,0,0,1,"skunk.jpg",4,0.545868152158583,0.151377282613806,0.151377282613806,0.151377282613806,0.620613953094291,0.126462015635236,0.126462015635236,0.126462015635236,4.9759778625444,2,2,2,0.454131847841417,-0.151377282613806,-0.151377282613806,-0.151377282613806,0.163858919858103,0.942465733265367,0.00760814935798226,0.992391850642018,0.165852358212613
2,1,5,"blue_flower",1,1,0.333333333333333,1.841375,6,0,6,0,1,1,"motorcycle.jpg",1,0.620613953094291,0.126462015635236,0.126462015635236,0.126462015635236,0.673814619467137,0.108728460177621,0.108728460177621,0.108728460177621,5.96503277826151,2,2,2,0.379386046905709,-0.126462015635236,-0.126462015635236,-0.126462015635236,0.57926421119298,0.926071188890847,0.0109450842828939,0.989054915717106,0.14178011100459
2,2,3,"green_flower",3,0,0.285714285714286,0.668035,7,0,7,0,1,1,"flipflop01b.jpg",2,0.151953603038008,0.151953603038008,0.544139190885975,0.151953603038008,0.126911423370629,0.126911423370629,0.619265729888112,0.126911423370629,2,2,4.96825346618627,2,-0.151953603038008,-0.151953603038008,0.455860809114025,-0.151953603038008,0.164410196883577,0.942859694074998,0.00761313059034685,0.992386869409653,0.166065766920725
2,2,1,NA,3,0,0.25,NA,8,0,8,0,1,1,"corn02.jpg",NA,0.126911423370629,0.126911423370629,0.619265729888112,0.126911423370629,0.108974878258804,0.108974878258804,0.673075365223588,0.108974878258804,2,2,5.96064033559592,2,-0.126911423370629,-0.126911423370629,0.380734270111888,-0.126911423370629,0.164410196883577,0.926309881501769,0.00761313059034685,0.992386869409653,0.142415437989627
2,1,2,"blue_flower",1,1,0.333333333333333,0.535065,9,0,9,1,1,1,"birdfeeder.jpg",1,0.673814619467137,0.108728460177621,0.108728460177621,0.108728460177621,0.71394329949832,0.09535223350056,0.09535223350056,0.09535223350056,6.95492742315659,2,2,2,0.326185380532863,-0.108728460177621,-0.108728460177621,-0.108728460177621,0.627932262353339,0.912688789088326,0.0101053551049214,0.989894644895079,0.124280046605299
2,2,4,"green_flower",3,0,0.3,0.686855,10,0,10,1,1,1,"marble.jpg",2,0.108974878258804,0.108974878258804,0.673075365223588,0.108974878258804,0.0954838902387281,0.0954838902387281,0.713548329283816,0.0954838902387281,2,2,6.95337384924243,2,-0.108974878258804,-0.108974878258804,0.326924634776412,-0.108974878258804,0.124242988982438,0.912824433466339,0.00726648635348615,0.992733513646514,0.124705233724417
