"PartNum","alpha","beta","PE","BIC","LL"
2,1,2.05609086494992,2,-Inf,-152.909220493352
3,0.777385079357307,3.09578500655975,2.98976371695579,-Inf,-100.8577134657
4,0.782383619550716,4.04303280211276,3.91449390971272,-Inf,-67.3379256216749
5,1,1.70010419386863,3,-Inf,-167.659047806938
6,0.94819240615431,2.38035290548872,2.16690773041489,-Inf,-125.547347985905
7,0.83354026628168,3.43131849710442,3.67757912018412,-Inf,-85.4632070600865
8,0.974530639473097,4.45859693707418,2.10587215647502,-Inf,-45.2429516361418
9,1,3.35950636312512,3,-Inf,-83.6505956870323
10,0.72057118531827,3.83206290687915,4.32128711490277,-Inf,-76.9489762206855
11,0.675690895998211,3.05540842135958,3.33406934843515,-Inf,-103.57728782007
