instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,corr_ans,type,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Willkommen zum letzten Teil des Experiments!,,Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,,"Jetzt werden wir dir einige Bilder zeigen.

Bitte gib zu jedem Bild an, ob du du es im Verlauf des Experiments gesehen hast.

Drücke die LINKE PFEILTASTE für JA
Drücke die RECHTE PFEILTASTE für NEIN

",Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,,"Anschließend bitten wir dich anzugeben wie sicher du dir bei deiner Wahl bist.

Bitte nutze die Zifferntasten von 1 bis 4 am oberen Ende deiner Tastatur um anzugeben, wie sicher du dir bei deiner Antwort bist.

Die Zahlen stehen für

1 = Sehr unsicher
2 = Unsicher
3 = Sicher
4 = Sehr sicher",Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,8.026035,4,4.08497,0,0,0,113,1,stimuli/objects/bluejay.jpg,right,new,274,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,3.091125,2,1.638755,0,1,1,5,1,stimuli/objects/wheelchair.jpg,left,old,166,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,2.568385,2,1.79555,0,2,2,119,1,stimuli/objects/sandbarshark.jpg,right,new,280,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,1.1905,4,0.696845,0,3,3,102,1,stimuli/objects/baseballglove.jpg,left,old,263,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.465625,3,1.613755,0,4,4,157,1,stimuli/objects/eagle.jpg,right,new,318,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,1.45402,2,0.73256,0,5,5,35,1,stimuli/objects/xylophone.jpg,left,old,196,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.68319,2,0.51852,0,6,6,121,1,stimuli/objects/shield02.jpg,right,new,282,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,1.095035,3,0.343185,0,7,7,72,1,stimuli/objects/doghouse.jpg,left,old,233,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,0.947865,3,1.172435,0,8,8,2,1,stimuli/objects/moon.jpg,left,old,163,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.82656,2,0.637575,0,9,9,4,1,stimuli/objects/blender.jpg,left,old,165,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.53111,4,0.462,0,10,10,61,1,stimuli/objects/parrot01.jpg,right,new,222,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.553665,4,0.54854,0,11,11,136,1,stimuli/objects/mouse.jpg,right,new,297,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,2.425705,2,0.328835,0,12,12,73,1,stimuli/objects/barrel01.jpg,left,old,234,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,2.52676,2,0.30548,0,13,13,75,1,stimuli/objects/bookshelf.jpg,left,old,236,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,1.4309,2,0.52701,0,14,14,71,1,stimuli/objects/tennisracket.jpg,right,new,232,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.24909,2,0.71359,0,15,15,39,1,stimuli/objects/desktopcomputer.jpg,left,old,200,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,0.99174,4,0.339455,0,16,16,67,1,stimuli/objects/snowshovel.jpg,left,old,228,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,2.270145,2,0.338955,0,17,17,127,1,stimuli/objects/shelf.jpg,right,new,288,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.316825,3,1.72977,0,18,18,141,1,stimuli/objects/gong.jpg,left,old,302,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.214345,3,1.244715,0,19,19,65,1,stimuli/objects/spacerover.jpg,right,new,226,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.13752,2,0.340395,0,20,20,158,1,stimuli/objects/bowrake.jpg,right,new,319,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,0.929145,4,0.44301,0,21,21,44,1,stimuli/objects/donut.jpg,left,old,205,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,2.37154,2,0.42806,0,22,22,94,1,stimuli/objects/scorpion.jpg,right,new,255,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,2.94671,2,0.292755,0,23,23,64,1,stimuli/objects/trojanhorse.jpg,right,new,225,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,0.83311,4,0.293255,0,24,24,117,1,stimuli/objects/fingerprint.jpg,left,old,278,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,6.90924,2,0.29903,0,25,25,138,1,stimuli/objects/ladybug03.jpg,right,new,299,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,1.45997,2,1.35482,0,26,26,147,1,stimuli/objects/bleachers.jpg,left,old,308,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,1.00649,4,0.329015,0,27,27,90,1,stimuli/objects/battleaxe.jpg,left,old,251,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,2.391925,2,0.278245,0,28,28,132,1,stimuli/objects/windshieldwiper02.jpg,left,old,293,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,0.83411,4,0.30951,0,29,29,97,1,stimuli/objects/greywolf.jpg,left,old,258,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.954165,4,0.347665,0,30,30,76,1,stimuli/objects/statue.jpg,right,new,237,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.226525,4,0.23222,0,31,31,45,1,stimuli/objects/siamesecat.jpg,right,new,206,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,1.379715,3,0.255645,0,32,32,99,1,stimuli/objects/bacon.jpg,left,old,260,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.559245,3,1.25679,0,33,33,3,1,stimuli/objects/bathtub.jpg,left,old,164,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.51438,3,0.93161,0,34,34,86,1,stimuli/objects/trafficlight.jpg,left,old,247,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.233485,2,0.70256,0,35,35,66,1,stimuli/objects/tricornhat.jpg,right,new,227,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.073685,3,0.28689,0,36,36,129,1,stimuli/objects/escalator.jpg,left,old,290,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.382235,3,0.43616,0,37,37,83,1,stimuli/objects/recyclingbin.jpg,left,old,244,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.18433,3,1.79247,0,38,38,143,1,stimuli/objects/taxisign.jpg,right,new,304,,,,,,,,
